LithicType,Length_mm_,Width_mm_,Thickness_mm_,Freq1_dry_Hz,Freq1_wet_Hz
metavolcanic,31,19,2,12834.4026710399,6481.37909843162
metavolcanic,35,25,6,30205.3737964146,20305.2140530829
metavolcanic,46,15,9,26229.855553361,20714.6637432895
metavolcanic,54,18,11,23263.4551844243,18449.6509723182
metavolcanic,34,24,8,42677.7196085443,31162.6658492198
metavolcanic,75,60,24,25334.0773830948,19458.6677859796
metavolcanic,32,23,10,60223.9305022916,46634.6412271319
metavolcanic,38,19,4,17082.9099264118,10683.0924623312
metavolcanic,48,37,10,26746.2810210038,18706.2771314485
metavolcanic,31,20,4,25668.8053420797,16211.6979331287
metavolcanic,28,15,3,23597.9482784489,14618.0099110226
metavolcanic,37,28,4,18018.7888486038,10415.167535921
metavolcanic,32,21,8,48179.1444018332,36036.240415401
metavolcanic,48,20,6,16059.7148006111,10964.1516010724
metavolcanic,29,20,7,51329.980242619,37836.9189289404
metavolcanic,39,19,6,24327.1419464878,17004.2056815891
metavolcanic,48,33,8,21412.9530674814,14383.0642885491
metavolcanic,66,27,17,24067.451381632,19341.5775348504
metavolcanic,52,40,17,38771.3824772149,30055.1180720854
metavolcanic,62,37,11,17647.3036726798,12346.6532673615
metavolcanic,35,32,18,76341.5278285221,63032.6662678172
metavolcanic,49,33,6,15410.9049981707,9495.40930144444
metavolcanic,54,35,8,16918.8764977631,11111.0800352356
metavolcanic,96,63,18,12044.7861004583,8412.52048465083
metavolcanic,83,60,16,14322.9623653585,9917.53879592255
metavolcanic,81,40,11,10339.3134152997,6975.4102548569
metavolcanic,40,28,9,34688.9839693199,25097.5696846926
metavolcanic,34,26,6,32008.2897064082,21450.2561935332
metavolcanic,57,28,8,15184.8088234771,10346.8420491608
metavolcanic,29,21,6,43997.1259222448,31007.3735634277
metavolcanic,30,21,9,61669.3048343465,47539.5111626775
metavolcanic,31,20,5,32086.0066775997,21604.9022294116
metavolcanic,29,21,6,43997.1259222448,31007.3735634277
metavolcanic,51,22,9,21338.8598042722,15759.8138727196
metavolcanic,31,26,3,17680.4200099141,9631.96204199357
metavolcanic,36,24,6,28550.6040899753,19286.824757779
metavolcanic,30,21,7,47965.0148711584,35001.9472147479
metavolcanic,33,26,8,44290.3450753405,32054.7128378365
metavolcanic,32,18,5,30111.9652511458,20593.0779951188
metavolcanic,47,18,12,33500.7540974268,27121.7786643733
metavolcanic,32,30,6,29688.3719333142,19594.7210648031
metavolcanic,23,22,3,28162.882466385,16586.9278322396
metavolcanic,27,24,7,51313.2354402961,37109.1618105496
metavolcanic,28,15,6,47195.8965568979,35148.5370591331
metavolcanic,31,16,5,32086.0066775997,22467.3768951867
metavolcanic,30,12,2,13704.2899631881,7807.38264805691
metavolcanic,29,25,9,58967.2490813412,44600.4129244297
metavolcanic,31,15,7,44920.4093486395,34358.5445696776
metavolcanic,28,22,11,84823.9198094691,67888.3907338216
metavolcanic,37,9,5,22523.4860607548,17364.09533252
metavolcanic,35,23,7,35239.6027624837,25007.856863994
metavolcanic,35,15,8,40273.8317285528,31443.6367091395
metavolcanic,29,22,6,43997.1259222448,30796.6601460655
metavolcanic,35,12,7,35239.6027624837,27731.625919906
metavolcanic,86,60,30,25014.5909279394,19858.0715908277
metavolcanic,22,12,5,63707.9595396142,47927.2599593114
metavolcanic,29,19,4,29331.4172814966,18835.6987322609
metavolcanic,40,23,4,15417.3262085866,9206.68606653657
metavolcanic,84,61,24,20975.9540252879,15929.8555095312
metavolcanic,29,17,6,43997.1259222448,32055.4579351111
metavolcanic,40,18,10,38543.3155214666,30398.3128843473
metavolcanic,37,22,17,76579.8526065662,64673.7736966554
metavolcanic,104,68,30,17105.0216811242,13196.9061461405
metavolcanic,77,45,14,14561.8193233404,10284.7915768961
metavolcanic,60,39,17,29121.6161717748,22402.3381250119
metavolcanic,24,17,3,32119.4296012222,19716.4772622148
metavolcanic,28,26,7,45674.4183589449,32568.1669776521
metavolcanic,31,24,6,38307.5766881473,26254.0155863018
metavolcanic,32,29,4,20474.7392643546,11997.8906350854
metavolcanic,34,11,10,53347.1495106804,45104.137375235
metavolcanic,32,25,8,47501.3950933027,34673.451111114
metavolcanic,26,15,4,36490.7129197317,24733.5692859662
metavolcanic,30,23,9,61669.3048343465,46975.5447005648
metavolcanic,36,24,9,42825.9061349629,31971.8792754052
metavolcanic,44,41,6,15798.6901640696,9477.71325239181
metavolcanic,37,21,4,18018.7888486038,11054.8682375782
metavolcanic,33,20,4,22651.7189474184,14201.9169104041
metavolcanic,31,17,4,25668.8053420797,16723.98777121
metavolcanic,33,26,5,27681.4656720878,17668.4612192044
metavolcanic,31,28,7,38307.5766881473,26722.4199188282
metavolcanic,37,21,3,13514.0916364529,7544.06922483596
metavolcanic,22,10,8,101932.735263383,85523.6191844293
metavolcanic,36,22,8,38067.472119967,28021.0744645756
metavolcanic,26,22,6,49826.638209758,35243.4000987239
metavolcanic,24,18,6,64238.8592024443,47145.0826844745
metavolcanic,20,18,4,52779.3278814474,35648.6315394977
metavolcanic,27,19,8,67675.5059910525,51981.5835953252
metavolcanic,31,27,8,45401.5723711376,32892.7399799727
metavolcanic,31,26,5,29467.3666831902,18935.8698385196
metavolcanic,41,24,7,25680.2578132318,17851.0656884371
metavolcanic,30,29,6,32759.5828229674,21911.8228587632
metavolcanic,38,26,5,21353.6374080147,13405.6258577551
metavolcanic,30,20,6,41112.8698895644,29123.80014221
metavolcanic,34,26,6,32008.2897064082,21450.2561935332
metavolcanic,36,21,4,19033.7360599835,11712.3667637035
metavolcanic,28,16,6,47195.8965568979,34808.9854201377
metavolcanic,19,15,4,66668.6246923546,46574.8586637563
metavolcanic,33,24,4,22651.7189474184,13703.3090795074
metavolcanic,32,21,8,48179.1444018332,36036.240415401
